,kp_foot,Max-height,Range,Average-height
0,3000.0,0.0245984505021493,0.0505287838060018,-0.0006659414008515999
1,3100.0,0.0255065779062405,0.050555194554268296,0.00022898062910634877
2,3200.0,0.0263386084351674,0.0512169749859375,0.0007301209421986515
3,3300.0,0.0267481897935526,0.051139964912913505,0.00117820733709585
4,3400.0,0.0274064937194306,0.0513593347499402,0.001726826344460499
5,3500.0,0.0280378887853871,0.0515253948959454,0.0022751913374143996
6,3600.0,0.0288177710284621,0.051577498789347295,0.0030290216337884503
7,3700.0,0.0295306738263316,0.052021777127762,0.0035197852624506004
8,3800.0,0.0301770428679032,0.05202256637510019,0.0041657596803531
9,3900.0,0.0308597640338181,0.0520131419226684,0.0048531930724838995
10,4000.0,0.0314128103779241,0.0521898669178808,0.005317876918983701
11,4100.0,0.032011203935749,0.0523223732941292,0.0058500172886844
12,4200.0,0.0326602792930072,0.0524099585545081,0.006455300015753151
13,4300.0,0.0332465196765846,0.0526513970720086,0.0069208211405803015
14,4400.0,0.0334037086121343,0.0524326126809107,0.007187402271678949
15,4500.0,0.0343733737205071,0.0530164947793228,0.007865126330845698
16,4600.0,0.0346167331664399,0.052826079797915704,0.00820369326748205
17,4700.0,0.0353962250955671,0.0529434551639979,0.00892449751356815
18,4800.0,0.0360162025144403,0.0531875916269854,0.0094224067009476
19,4900.0,0.0362213764850576,0.0531378224483291,0.00965246526089305
20,5000.0,0.0368878776139835,0.0532318866929732,0.010271934267496901
21,5100.0,0.0373944370949688,0.053581110307404395,0.0106038819412666
22,5200.0,0.037510260720635,0.053413108924068003,0.010803706258601
23,5300.0,0.0380908172917199,0.0534306949798528,0.011375469801793499
24,5400.0,0.038556800352236,0.0536310938681292,0.0117412534181714
25,5500.0,0.0391897925161243,0.054208936845354695,0.01208532409344695
26,5600.0,0.0393058212200959,0.0536397831120279,0.012485929664081949
27,5700.0,0.0397028258083815,0.0535899616055613,0.012907845005600849
28,5800.0,0.0402342160574175,0.0539766535471267,0.013245889283854149
29,5900.0,0.040494424494562,0.0541925909786269,0.013398129005248548
30,6000.0,0.0414205570020963,0.0550406700003318,0.0139002220019304
31,6100.0,0.0416401086082685,0.0551779558021106,0.0140511307072132
32,6200.0,0.0419635100567226,0.0551193841142645,0.01440381799959035
33,6300.0,0.0419406232390749,0.054831581904331905,0.014524832286908951
34,6400.0,0.0428103820297416,0.0559344464429727,0.01484315880825525
35,6500.0,0.0425168140731315,0.0551712807487325,0.01493117369876525
36,6600.0,0.0421406560314624,0.0546462397076458,0.0148175361776395
37,6700.0,0.0433054809889425,0.0568510460753761,0.01487995795125445
38,6800.0,0.0439534242216744,0.060367617482937494,0.01376961548020565
39,6900.0,0.0433153135925432,0.06250402171364311,0.012063302735721652
40,7000.0,0.04117211411618,0.0635291698893086,0.0094075291715257
41,7100.0,0.0379419827169936,0.06342188585285641,0.006231039790565402
42,7200.0,0.0357236054184352,0.0622033526523467,0.004621929092261851
43,7300.0,0.033531596377096,0.0628974660630818,0.002082863345555099
44,7400.0,0.0317295511398174,0.0645927036482645,-0.0005668006843148471
45,7500.0,0.0302355923573076,0.0646946470810291,-0.0021117311832069517
46,7600.0,0.0277596117661248,0.0650526457099368,-0.004766711088843599
47,7700.0,0.026463553308639,0.0657257420842016,-0.006399317733461798
48,7800.0,0.0252795371811183,0.0664334970623891,-0.007937211350076252
49,7900.0,0.0240982531949029,0.0676380161340681,-0.00972075487213115
50,8000.0,0.0225918690776534,0.0669815877648075,-0.010898924804750349
51,8100.0,0.0215416920451706,0.0667350098784366,-0.0118258128940477
52,8200.0,0.0218904222232458,0.0671270763037682,-0.011673115928638301
53,8300.0,0.0214328987468315,0.0674420420949489,-0.012288122300642948
54,8400.0,0.0214975439481157,0.06665666554921851,-0.01183078882649355
55,8500.0,0.0212649160925438,0.06719218642562591,-0.012331177120269151
56,8600.0,0.0212052665933132,0.0672507911644242,-0.012420128988898901
57,8700.0,0.0209796015276341,0.0675077456381545,-0.01277427129144315
58,8800.0,0.0213335675518212,0.0664112808069473,-0.011872072851652449
59,8900.0,0.0210392216471768,0.0669995024138246,-0.0124605295597355
60,9000.0,0.0209738982121185,0.0671583262384747,-0.01260526490711885
61,9100.0,0.0209352167457842,0.0665667791672549,-0.012348172837843249
62,9200.0,0.0209562516775516,0.0663574001152365,-0.012222448380066649
63,9300.0,0.0207605952712695,0.0666299493643703,-0.01255437941091565
64,9400.0,0.0205620030159032,0.0668911118996904,-0.012883552933941998
65,9500.0,0.020658729590405,0.0665739948889917,-0.01262826785409085
66,9600.0,0.0206193759788498,0.06630602612934369,-0.01253363708582205
67,9700.0,0.0203780846208007,0.06774181850132399,-0.013492824629861299
68,9800.0,0.0203386132306554,0.0672551817028538,-0.013288977620771499
69,9900.0,0.0203271666893338,0.0670719447984498,-0.013208805709891101
70,10000.0,0.020433032294492,0.0666262764152073,-0.01288010591311165
71,10100.0,0.0202252483565914,0.0661054859500165,-0.012827494618416849
72,10200.0,0.0200863857770142,0.0670650960917782,-0.013446162268874899
73,10300.0,0.0201079896158736,0.0671088100270206,-0.0134464153976367
74,10400.0,0.0201509042770687,0.0666019874027014,-0.013150089424282002
75,10500.0,0.0200774510218427,0.0665725204811175,-0.013208809218716049
76,10600.0,0.020223744376,0.0661177056785955,-0.01283510846329775
77,10700.0,0.0201937371681716,0.066897133621066,-0.013254829642361398
78,10800.0,0.0199293838052601,0.0671156562377154,-0.013628444313597601
79,10900.0,0.0199068790194162,0.0670008424800293,-0.01359354222059845
80,11000.0,0.0198406327333654,0.066212571372832,-0.0132656529530506
81,11100.0,0.0199924308281233,0.0666321338889814,-0.0133236361163674
82,11200.0,0.0200306486694269,0.0665030076490115,-0.01322085515507885
83,11300.0,0.0198717806361978,0.0669106672985509,-0.013583553013077648
84,11400.0,0.0199163409639904,0.0661551676453315,-0.01316124285867535
85,11500.0,0.0197600758246571,0.0671982716932238,-0.0138390600219548
86,11600.0,0.0198521480374073,0.0667179142681654,-0.013506809096675402
87,11700.0,0.0196765643446919,0.0668625553351679,-0.013754713322892048
88,11800.0,0.0197620658054625,0.06672622648033161,-0.013601047434703301
89,11900.0,0.0197636933557595,0.0661720237019653,-0.013322318495223149
